alfa,beta,gamma,area
-10,-10,0.1,3.88989681771869e+84 
-10,-10,2.575,2.13596901785982e+85 
-10,-10,5.05,1.17305562377197e+86 
-10,-10,7.525,6.44328589876425e+86 
-10,-10,10,3.53964533114145e+87 
-10,-7.77777777777778,0.1,2.49846597899623e+65 
-10,-7.77777777777778,2.575,1.36704540993737e+66 
-10,-7.77777777777778,5.05,7.48174636156881e+66 
-10,-7.77777777777778,7.525,4.09571803978719e+67 
-10,-7.77777777777778,10,2.24264642268951e+68 
-10,-5.55555555555556,0.1,1.74925385037801e+46 
-10,-5.55555555555556,2.575,9.50975765176553e+46 
-10,-5.55555555555556,5.05,5.17253195085404e+47 
-10,-5.55555555555556,7.525,2.81477961413544e+48 
-10,-5.55555555555556,10,1.53244216730249e+49 
-10,-3.33333333333333,0.1,1.46270225837725e+27 
-10,-3.33333333333333,2.575,7.83279617569815e+27 
-10,-3.33333333333333,5.05,4.20033405851315e+28 
-10,-3.33333333333333,7.525,2.2553411800145e+29 
-10,-3.33333333333333,10,1.21244562672547e+30 
-10,-1.11111111111111,0.1,225531569.887488 
-10,-1.11111111111111,2.575,1117633122.88373 
-10,-1.11111111111111,5.05,5610137145.10594 
-10,-1.11111111111111,7.525,28446708340.1485 
-10,-1.11111111111111,10,145426286645.885 
-10,1.11111111111111,0.1,1.25109233150755e-06 
-10,1.11111111111111,2.575,1.54521109727572e-06 
-10,1.11111111111111,5.05,1.99672855993334e-06 
-10,1.11111111111111,7.525,2.74908577637971e-06 
-10,1.11111111111111,10,4.14081184671111e-06 
-10,3.33333333333333,0.1,9.75852508756524e-17 
-10,3.33333333333333,2.575,1.04959712924559e-16 
-10,3.33333333333333,5.05,1.13499003039595e-16 
-10,3.33333333333333,7.525,1.23491705523446e-16 
-10,3.33333333333333,10,1.35326133961012e-16 
-10,5.55555555555556,0.1,1.3211151770428e-26 
-10,5.55555555555556,2.575,1.3805915718417e-26 
-10,5.55555555555556,5.05,1.44556703616234e-26 
-10,5.55555555555556,7.525,1.51682486405001e-26 
-10,5.55555555555556,10,1.59530117160403e-26 
-10,7.77777777777778,0.1,2.11714122248103e-36 
-10,7.77777777777778,2.575,2.18501663852967e-36 
-10,7.77777777777778,5.05,2.25732744246371e-36 
-10,7.77777777777778,7.525,2.33451674826796e-36 
-10,7.77777777777778,10,2.41708783675285e-36 
-10,10,0.1,3.68721366515722e-46 
-10,10,2.575,3.77900266118435e-46 
-10,10,5.05,3.87542946927321e-46 
-10,10,7.525,3.9768508328069e-46 
-10,10,10,4.08366063116328e-46 
-7.77777777777778,-10,0.1,2.49846597899623e+65 
-7.77777777777778,-10,2.575,1.36704540993737e+66 
-7.77777777777778,-10,5.05,7.48174636156881e+66 
-7.77777777777778,-10,7.525,4.09571803978719e+67 
-7.77777777777778,-10,10,2.24264642268951e+68 
-7.77777777777778,-7.77777777777778,0.1,3.12538021923953e+50 
-7.77777777777778,-7.77777777777778,2.575,1.70223080845589e+51 
-7.77777777777778,-7.77777777777778,5.05,9.27506671307706e+51 
-7.77777777777778,-7.77777777777778,7.525,5.05581509006854e+52 
-7.77777777777778,-7.77777777777778,10,2.75698152611461e+53 
-7.77777777777778,-5.55555555555556,0.1,4.26297917758114e+35 
-7.77777777777778,-5.55555555555556,2.575,2.30264498681872e+36 
-7.77777777777778,-5.55555555555556,5.05,1.24480246657268e+37 
-7.77777777777778,-5.55555555555556,7.525,6.7346196432168e+37 
-7.77777777777778,-5.55555555555556,10,3.64624728948311e+38 
-7.77777777777778,-3.33333333333333,0.1,6.95141411673822e+20 
-7.77777777777778,-3.33333333333333,2.575,3.68228180715952e+21 
-7.77777777777778,-3.33333333333333,5.05,1.95508817778095e+22 
-7.77777777777778,-3.33333333333333,7.525,1.04022207703472e+23 
-7.77777777777778,-3.33333333333333,10,5.54516389636375e+23 
-7.77777777777778,-1.11111111111111,0.1,2106472.21501101 
-7.77777777777778,-1.11111111111111,2.575,10087869.1446656 
-7.77777777777778,-1.11111111111111,5.05,49349312.191167 
-7.77777777777778,-1.11111111111111,7.525,245211337.144216 
-7.77777777777778,-1.11111111111111,10,1233158728.67379 
-7.77777777777778,1.11111111111111,0.1,1.86557901136146e-05 
-7.77777777777778,1.11111111111111,2.575,2.43763150069189e-05 
-7.77777777777778,1.11111111111111,5.05,3.42029556837599e-05 
-7.77777777777778,1.11111111111111,7.525,5.3201431558762e-05 
-7.77777777777778,1.11111111111111,10,9.55737767976511e-05 
-7.77777777777778,3.33333333333333,0.1,2.0533673892487e-13 
-7.77777777777778,3.33333333333333,2.575,2.25390135452668e-13 
-7.77777777777778,3.33333333333333,5.05,2.49588653366482e-13 
-7.77777777777778,3.33333333333333,7.525,2.79293554069789e-13 
-7.77777777777778,3.33333333333333,10,3.16497883329227e-13 
-7.77777777777778,5.55555555555556,0.1,3.88906999883494e-21 
-7.77777777777778,5.55555555555556,2.575,4.1148655072876e-21 
-7.77777777777778,5.55555555555556,5.05,4.36778821701223e-21 
-7.77777777777778,5.55555555555556,7.525,4.6528977747207e-21 
-7.77777777777778,5.55555555555556,10,4.97655652384037e-21 
-7.77777777777778,7.77777777777778,0.1,8.70643785230318e-29 
-7.77777777777778,7.77777777777778,2.575,9.06609177225589e-29 
-7.77777777777778,7.77777777777778,5.05,9.45619182341414e-29 
-7.77777777777778,7.77777777777778,7.525,9.88070003898436e-29 
-7.77777777777778,7.77777777777778,10,1.03442830941798e-28 
-7.77777777777778,10,0.1,2.11714122248106e-36 
-7.77777777777778,10,2.575,2.1850166385297e-36 
-7.77777777777778,10,5.05,2.25732744246374e-36 
-7.77777777777778,10,7.525,2.33451674826799e-36 
-7.77777777777778,10,10,2.41708783675288e-36 
-5.55555555555556,-10,0.1,1.74925385037801e+46 
-5.55555555555556,-10,2.575,9.50975765176553e+46 
-5.55555555555556,-10,5.05,5.17253195085404e+47 
-5.55555555555556,-10,7.525,2.81477961413544e+48 
-5.55555555555556,-10,10,1.53244216730249e+49 
-5.55555555555556,-7.77777777777778,0.1,4.26297917758114e+35 
-5.55555555555556,-7.77777777777778,2.575,2.30264498681872e+36 
-5.55555555555556,-7.77777777777778,5.05,1.24480246657268e+37 
-5.55555555555556,-7.77777777777778,7.525,6.7346196432168e+37 
-5.55555555555556,-7.77777777777778,10,3.64624728948311e+38 
-5.55555555555556,-5.55555555555556,0.1,1.13346303167582e+25 
-5.55555555555556,-5.55555555555556,2.575,6.05132418751997e+25 
-5.55555555555556,-5.55555555555556,5.05,3.23594511453031e+26 
-5.55555555555556,-5.55555555555556,7.525,1.73301856911238e+27 
-5.55555555555556,-5.55555555555556,10,9.2940916382492e+27 
-5.55555555555556,-3.33333333333333,0.1,360951903593812 
-5.55555555555556,-3.33333333333333,2.575,1874680165042020 
-5.55555555555556,-3.33333333333333,5.05,9781110825299914 
-5.55555555555556,-3.33333333333333,7.525,51235539830605816 
-5.55555555555556,-3.33333333333333,10,269318350323236256 
-5.55555555555556,-1.11111111111111,0.1,21631.4248938287 
-5.55555555555556,-1.11111111111111,2.575,97459.1972548299 
-5.55555555555556,-1.11111111111111,5.05,457017.444002633 
-5.55555555555556,-1.11111111111111,7.525,2201160.52387176 
-5.55555555555556,-1.11111111111111,10,10806380.4856894 
-5.55555555555556,1.11111111111111,0.1,0.000298853029627078 
-5.55555555555556,1.11111111111111,2.575,0.000429206149095745 
-5.55555555555556,1.11111111111111,5.05,0.000694964414034198 
-5.55555555555556,1.11111111111111,7.525,0.00132983280056811 
-5.55555555555556,1.11111111111111,10,0.00311794766485009 
-5.55555555555556,3.33333333333333,0.1,4.6799540171941e-10 
-5.55555555555556,3.33333333333333,2.575,5.32581718253803e-10 
-5.55555555555556,3.33333333333333,5.05,6.1646190631214e-10 
-5.55555555555556,3.33333333333333,7.525,7.29006838168435e-10 
-5.55555555555556,3.33333333333333,10,8.86172051541709e-10 
-5.55555555555556,5.55555555555556,0.1,1.24244505908038e-15 
-5.55555555555556,5.55555555555556,2.575,1.34399275981999e-15 
-5.55555555555556,5.55555555555556,5.05,1.46294946283149e-15 
-5.55555555555556,5.55555555555556,7.525,1.60401321746844e-15 
-5.55555555555556,5.55555555555556,10,1.7736570400476e-15 
-5.55555555555556,7.77777777777778,0.1,3.88906999883497e-21 
-5.55555555555556,7.77777777777778,2.575,4.11486550728763e-21 
-5.55555555555556,7.77777777777778,5.05,4.36778821701226e-21 
-5.55555555555556,7.77777777777778,7.525,4.65289777472073e-21 
-5.55555555555556,7.77777777777778,10,4.97655652384041e-21 
-5.55555555555556,10,0.1,1.32111517704282e-26 
-5.55555555555556,10,2.575,1.38059157184172e-26 
-5.55555555555556,10,5.05,1.44556703616236e-26 
-5.55555555555556,10,7.525,1.51682486405003e-26 
-5.55555555555556,10,10,1.59530117160406e-26 
-3.33333333333333,-10,0.1,1.46270225837725e+27 
-3.33333333333333,-10,2.575,7.83279617569815e+27 
-3.33333333333333,-10,5.05,4.20033405851315e+28 
-3.33333333333333,-10,7.525,2.2553411800145e+29 
-3.33333333333333,-10,10,1.21244562672547e+30 
-3.33333333333333,-7.77777777777778,0.1,6.95141411673822e+20 
-3.33333333333333,-7.77777777777778,2.575,3.68228180715952e+21 
-3.33333333333333,-7.77777777777778,5.05,1.95508817778095e+22 
-3.33333333333333,-7.77777777777778,7.525,1.04022207703472e+23 
-3.33333333333333,-7.77777777777778,10,5.54516389636375e+23 
-3.33333333333333,-5.55555555555556,0.1,360951903593812 
-3.33333333333333,-5.55555555555556,2.575,1874680165042020 
-3.33333333333333,-5.55555555555556,5.05,9781110825299914 
-3.33333333333333,-5.55555555555556,7.525,51235539830605816 
-3.33333333333333,-5.55555555555556,10,269318350323236256 
-3.33333333333333,-3.33333333333333,0.1,225531569.887489 
-3.33333333333333,-3.33333333333333,2.575,1117633122.88374 
-3.33333333333333,-3.33333333333333,5.05,5610137145.10596 
-3.33333333333333,-3.33333333333333,7.525,28446708340.1486 
-3.33333333333333,-3.33333333333333,10,145426286645.885 
-3.33333333333333,-1.11111111111111,0.1,265.767137398632 
-3.33333333333333,-1.11111111111111,2.575,1060.29546070609 
-3.33333333333333,-1.11111111111111,5.05,4600.78548448086 
-3.33333333333333,-1.11111111111111,7.525,21021.5710147968 
-3.33333333333333,-1.11111111111111,10,99353.0892166297 
-3.33333333333333,1.11111111111111,0.1,0.00544830755605738 
-3.33333333333333,1.11111111111111,2.575,0.00928043007616057 
-3.33333333333333,1.11111111111111,5.05,0.0191759159237403 
-3.33333333333333,1.11111111111111,7.525,0.0493944006643389 
-3.33333333333333,1.11111111111111,10,0.155565091101185 
-3.33333333333333,3.33333333333333,0.1,1.25109233150755e-06 
-3.33333333333333,3.33333333333333,2.575,1.54521109727571e-06 
-3.33333333333333,3.33333333333333,5.05,1.99672855993333e-06 
-3.33333333333333,3.33333333333333,7.525,2.74908577637969e-06 
-3.33333333333333,3.33333333333333,10,4.14081184671109e-06 
-3.33333333333333,5.55555555555556,0.1,4.6799540171941e-10 
-3.33333333333333,5.55555555555556,2.575,5.32581718253803e-10 
-3.33333333333333,5.55555555555556,5.05,6.1646190631214e-10 
-3.33333333333333,5.55555555555556,7.525,7.29006838168435e-10 
-3.33333333333333,5.55555555555556,10,8.86172051541709e-10 
-3.33333333333333,7.77777777777778,0.1,2.0533673892487e-13 
-3.33333333333333,7.77777777777778,2.575,2.25390135452668e-13 
-3.33333333333333,7.77777777777778,5.05,2.49588653366483e-13 
-3.33333333333333,7.77777777777778,7.525,2.7929355406979e-13 
-3.33333333333333,7.77777777777778,10,3.16497883329228e-13 
-3.33333333333333,10,0.1,9.75852508756539e-17 
-3.33333333333333,10,2.575,1.0495971292456e-16 
-3.33333333333333,10,5.05,1.13499003039597e-16 
-3.33333333333333,10,7.525,1.23491705523448e-16 
-3.33333333333333,10,10,1.35326133961014e-16 
-1.11111111111111,-10,0.1,225531569.887488 
-1.11111111111111,-10,2.575,1117633122.88373 
-1.11111111111111,-10,5.05,5610137145.10594 
-1.11111111111111,-10,7.525,28446708340.1485 
-1.11111111111111,-10,10,145426286645.885 
-1.11111111111111,-7.77777777777778,0.1,2106472.21501101 
-1.11111111111111,-7.77777777777778,2.575,10087869.1446656 
-1.11111111111111,-7.77777777777778,5.05,49349312.191167 
-1.11111111111111,-7.77777777777778,7.525,245211337.144216 
-1.11111111111111,-7.77777777777778,10,1233158728.67379 
-1.11111111111111,-5.55555555555556,0.1,21631.4248938287 
-1.11111111111111,-5.55555555555556,2.575,97459.1972548299 
-1.11111111111111,-5.55555555555556,5.05,457017.444002633 
-1.11111111111111,-5.55555555555556,7.525,2201160.52387176 
-1.11111111111111,-5.55555555555556,10,10806380.4856894 
-1.11111111111111,-3.33333333333333,0.1,265.767137398632 
-1.11111111111111,-3.33333333333333,2.575,1060.29546070609 
-1.11111111111111,-3.33333333333333,5.05,4600.78548448086 
-1.11111111111111,-3.33333333333333,7.525,21021.5710147968 
-1.11111111111111,-3.33333333333333,10,99353.0892166297 
-1.11111111111111,-1.11111111111111,0.1,4.57462176836691 
-1.11111111111111,-1.11111111111111,2.575,14.4248104920526 
-1.11111111111111,-1.11111111111111,5.05,53.7216539418639 
-1.11111111111111,-1.11111111111111,7.525,222.506002492615 
-1.11111111111111,-1.11111111111111,10,984.615056019454 
-1.11111111111111,1.11111111111111,0.1,0.127587271217578 
-1.11111111111111,1.11111111111111,2.575,0.28880164954122 
-1.11111111111111,1.11111111111111,5.05,0.822686403698866 
-1.11111111111111,1.11111111111111,7.525,2.82894738460399 
-1.11111111111111,1.11111111111111,10,11.0746003557979 
-1.11111111111111,3.33333333333333,0.1,0.00544830755605737 
-1.11111111111111,3.33333333333333,2.575,0.00928043007616056 
-1.11111111111111,3.33333333333333,5.05,0.0191759159237403 
-1.11111111111111,3.33333333333333,7.525,0.0493944006643389 
-1.11111111111111,3.33333333333333,10,0.155565091101185 
-1.11111111111111,5.55555555555556,0.1,0.000298853029627077 
-1.11111111111111,5.55555555555556,2.575,0.000429206149095744 
-1.11111111111111,5.55555555555556,5.05,0.000694964414034195 
-1.11111111111111,5.55555555555556,7.525,0.0013298328005681 
-1.11111111111111,5.55555555555556,10,0.00311794766485008 
-1.11111111111111,7.77777777777778,0.1,1.86557901136146e-05 
-1.11111111111111,7.77777777777778,2.575,2.43763150069189e-05 
-1.11111111111111,7.77777777777778,5.05,3.42029556837599e-05 
-1.11111111111111,7.77777777777778,7.525,5.3201431558762e-05 
-1.11111111111111,7.77777777777778,10,9.55737767976511e-05 
-1.11111111111111,10,0.1,1.25109233150755e-06 
-1.11111111111111,10,2.575,1.54521109727572e-06 
